Year Column,Missing Count,Total Countries,Missing %,Status
2000 [YR2000],167,1140,14.65,WARN
2001 [YR2001],166,1140,14.56,WARN
2002 [YR2002],142,1140,12.46,WARN
2003 [YR2003],138,1140,12.11,WARN
2004 [YR2004],127,1140,11.14,WARN
2005 [YR2005],133,1140,11.67,WARN
2006 [YR2006],140,1140,12.28,WARN
2007 [YR2007],141,1140,12.37,WARN
2008 [YR2008],130,1140,11.4,WARN
2009 [YR2009],130,1140,11.4,WARN
2010 [YR2010],110,1140,9.65,WARN
2011 [YR2011],98,1140,8.6,WARN
2012 [YR2012],98,1140,8.6,WARN
2013 [YR2013],99,1140,8.68,WARN
2014 [YR2014],87,1140,7.63,WARN
2015 [YR2015],73,1140,6.4,WARN
2016 [YR2016],77,1140,6.75,WARN
2017 [YR2017],69,1140,6.05,WARN
2018 [YR2018],74,1140,6.49,WARN
2019 [YR2019],76,1140,6.67,WARN
2020 [YR2020],71,1140,6.23,WARN
2021 [YR2021],81,1140,7.11,WARN
2022 [YR2022],97,1140,8.51,WARN
2023 [YR2023],135,1140,11.84,WARN
2024 [YR2024],488,1140,42.81,WARN
