Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,174.930991430166,138.706821676113,178.954088379235,198.871115728727,221.763653873013,254.184249149336,274.218553561575,376.223152003876,381.73323802844,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,413.757894705303,
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,1.37434995174408,1.39064002037048,,,,,3.93815994262695,,3.68686008453369,,,8.39764022827148,,,,9.99592018127441,,10.85435962677,,,,
Afghanistan,AFG,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,0.571370005607605,0.578159987926483,,,,,1.4480299949646,,1.8252899646759,,,3.49629998207092,,,,5.02065992355347,,5.93654012680054,,,,
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,3.4794499874115,3.4620099067688,2.60419988632202,3.45445990562439,3.69521999359131,3.2558000087738,4.54397010803223,4.34319019317627,,,,,,,
Afghanistan,AFG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,27.3092369477912,27.3092369477912,27.6859504132231,27.6859504132231,27.3092369477912,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,,27.8688524590164,27.0161290322581,27.0161290322581,,,
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,,,0.08418062,0.65096337,0.54292566,0.5291841,0.49784002,0.55994755,0.62779975,0.53190351,0.46915731,0.47999981,0.34288675,0.44335932,0.47265697,0.52267277,0.60012972,0.64313394,0.55239552,0.49705607,1.18621242,0.71036398,0.18147056,0.24774949,
Afghanistan,AFG,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,,,1.21245599,5.45767879,3.60296822,3.38122058,2.7260592,2.61078191,3.00392056,2.51478314,2.2567358,2.18811917,1.37000275,1.77506959,1.86067402,2.01440597,2.14110541,2.31911564,1.90904689,1.77526009,4.24602795,3.96101093,1.12605727,1.46018374,
Afghanistan,AFG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,23.6729906704526,22.8384237602807,24.4531246057782,24.7818489406037,24.833148478038,25.7077189524347,25.9420504795722,27.2248878765164,27.6621985463541,29.3948425879471,31.1592526833235,31.1177963939839,32.3133084481045,32.0763627884824,32.2391686364613,33.7321152250418,35.23983684805,36.802134491624,37.0166785521044,37.5135391226906,35.535277276328,30.151585831638,29.4272142369757,29.4984918421715,29.5021677680015
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,14.294,14.196,14.152,14.154,14.205,14.302,14.452,14.67,14.944,15.248,15.572,15.893,16.208,17.138,18.107,19.113,20.156,21.24,19.805,18.298,16.474,14.616,5.159,5.145,5.123
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.897,7.973,7.867,7.844,7.794,7.878,7.897,7.841,7.879,7.808,7.809,7.83,7.875,7.921,7.915,9.032,10.116,11.184,11.192,11.187,11.71,12.006,14.1,14.008,13.687
